acude_Banabuiú,acude_Castanhão,acude_Orós,water_level,precipitation,temperature_mean,volume,radiation,winv,depth,runoff,temperature_bottom,temperature_2m,month,year,chla
0,1,0,75.95,3.90088248939778,27.8999996185303,499063840,19419812.2222222,-3.09501889016893,7.0071566634708,5.28485252971223e-06,298.018218994141,302.263648139106,8,2003,29.815
0,1,0,75.15,0.153834573066845,29,461623072,21266724,-3.5523247718811,7.00630884700351,3.86452117595582e-06,298.159064398872,302.782368977865,9,2003,25.85
0,1,0,74.28,0.788821590722845,29.3999996185303,423726336,21912338.8888889,-3.54894063207838,6.97604441642761,2.93651326084425e-06,298.868160671658,303.139149983724,10,2003,33.7
0,1,0,73.24,6.26229746077621,29.3999996185303,381807520,21002728,-3.54696660571628,6.74859311845568,2.41935583229254e-05,299.32418484158,303.18591647678,11,2003,31.16
0,1,0,72.23,27.0787517851739,29.7000007629395,344067712,19437955.3333333,-3.24414526091682,6.92356856664022,3.8392515173579e-05,299.704420301649,302.657111273872,12,2003,40.775
0,1,0,71.46,428.888656103038,28.5,316878368,13492937.2222222,-1.90121806992425,6.4971506330702,0.0023214662639172,299.732120090061,300.350487603082,1,2004,31.16
0,1,0,83.62,302.005628911107,27.7000007629395,1053341056,16525960.2222222,-1.71086192131042,5.82157937685649,0.00153864583551088,300.269687228733,299.173516167535,2,2004,18.91
0,1,0,98.33,144.256404475091,27.7000007629395,3919620608,18391629.1111111,-1.81926622655657,5.7228163878123,0.000686494944623822,300.52062649197,299.775112575955,3,2004,9.065
0,1,0,100.37,91.0670982924531,27.3999996185303,4571543552,17990136.2222222,-2.03049102094438,5.44178766674466,0.000204410081995168,300.69778781467,301.243676079644,4,2004,19.31
0,1,0,101.03,69.6174917848203,26.8000011444092,4796413952,16069703.5555556,-1.98740001519521,6.43874088923136,0.000141153053226238,299.99811469184,300.704230414497,5,2004,15.53
0,1,0,101.29,53.5712965000351,26,4887368192,13502650.7777778,-2.34577714072333,6.96264995468987,0.000111134393678943,298.48573811849,299.802490234375,6,2004,4.92
0,1,0,101.61,15.0924123296465,25.8999996185303,5000170496,14953037.8888889,-2.21768866644965,6.61982003847758,5.90178175468736e-05,297.860887315538,300.218197292752,7,2004,16.25
0,1,0,101.42,1.66452296595138,27.3000011444092,4932843520,18164031.1111111,-2.96755075454712,6.75656204753452,4.06885722933718e-05,297.673214382595,301.775902642144,8,2004,13.285
0,1,0,101.16,1.76085783636585,28.6000003814697,4841892352,20896436.8888889,-3.30161873499552,7.00537647141351,2.83543451049203e-05,298.215260823568,302.702348497179,9,2004,17.62
0,1,0,100.89,1.27152071305458,29.1000003814697,4748308480,21698138.6666667,-3.67889046669006,7.01911001735263,1.968858092899e-05,298.608998616536,302.50143093533,10,2004,17.285
0,1,0,100.57,4.91593137572421,29.2000007629395,4638894080,21363468.2222222,-3.55734448962741,6.98681076367696,1.51661761719879e-05,298.920739067925,302.658064100477,11,2004,17.38
0,1,0,100.25,12.9830384068859,29.6000003814697,4531465216,20176686.8888889,-3.35717447598775,6.94874676068624,3.30640941369135e-05,299.362796359592,302.64988538954,12,2004,19.71
